cell,cast_size,steps,cognition,cost_usd,calls,tokens_in,tokens_out,source_run_id,new_or_reused
A1,1,4320,on,0.518008,66,82353,18706,run-20260730-181445-3ec17f,new
A3,3,4320,on,3.157274,434,711784,101127,run-20260730-185759-623330,new
A5,5,4320,on,5.381057,832,1392012,168926,run-20260730-025718-889dac,reused-batch10-runA
A5,5,4320,on,6.818001,1109,1942608,211099,run-20260730-053001-294a5c,reused-batch11-runB
A5,5,4320,on,5.37355,906,1565478,168453,run-20260730-150317-7ed039,reused-batch12-runA
A7,7,4320,on,8.574769,1375,2362487,269755,run-20260801-010006-9aec92,new
D1080,5,1080,on,1.377269,236,340861,41270,run-20260730-182145-7d3236,new
D2160,5,2160,on,2.957218,509,837388,87204,run-20260730-183303-90409a,new
C-OFF,5,4320,off,7.070765,1131,1912708,226384,run-20260801-000649-672424,new
